"도로명코드","도로명","도로명 로마자","읍면동일련번호","시도명","시도명 로마자","시군구명","시군구명 로마자","읍면동명","읍면동명 로마자","읍면동구분","읍면동코드","사용여부","변경사유","변경이력정보","고시일자","말소일자"
"111102005001","세종대로","Sejong-daero","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111102005001","세종대로","Sejong-daero","01","서울특별시","Seoul","종로구","Jongno-gu","세종로","Sejongno","1","119","0","","","",""
"111102005001","세종대로","Sejong-daero","02","서울특별시","Seoul","종로구","Jongno-gu","종로1가","Jongno 1(il)-ga","1","126","0","","","",""
"111102100001","삼일대로","Samil-daero","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111102100001","삼일대로","Samil-daero","01","서울특별시","Seoul","종로구","Jongno-gu","운니동","Unni-dong","1","132","0","","","",""
"111102100001","삼일대로","Samil-daero","02","서울특별시","Seoul","종로구","Jongno-gu","경운동","Gyeongun-dong","1","134","0","","","",""
"111102100001","삼일대로","Samil-daero","03","서울특별시","Seoul","종로구","Jongno-gu","관철동","Gwancheol-dong","1","135","0","","","",""
"111102100001","삼일대로","Samil-daero","04","서울특별시","Seoul","종로구","Jongno-gu","인사동","Insa-dong","1","136","0","","","",""
"111102100001","삼일대로","Samil-daero","05","서울특별시","Seoul","종로구","Jongno-gu","낙원동","Nagwon-dong","1","137","0","","","",""
"111102100001","삼일대로","Samil-daero","06","서울특별시","Seoul","종로구","Jongno-gu","종로2가","Jongno 2(i)-ga","1","138","0","","","",""
"111102100002","필운대로","Pirundae-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111102100002","필운대로","Pirundae-ro","01","서울특별시","Seoul","종로구","Jongno-gu","신교동","Singyo-dong","1","102","0","","","",""
"111102100002","필운대로","Pirundae-ro","02","서울특별시","Seoul","종로구","Jongno-gu","통인동","Tongin-dong","1","108","0","","","",""
"111102100002","필운대로","Pirundae-ro","03","서울특별시","Seoul","종로구","Jongno-gu","누하동","Nuha-dong","1","110","0","","","",""
"111102100002","필운대로","Pirundae-ro","04","서울특별시","Seoul","종로구","Jongno-gu","옥인동","Ogin-dong","1","111","0","","","",""
"111102100002","필운대로","Pirundae-ro","05","서울특별시","Seoul","종로구","Jongno-gu","필운동","Pirun-dong","1","113","0","","","",""
"111103000008","통일로","Tongil-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
"111103000008","통일로","Tongil-ro","01","서울특별시","Seoul","종로구","Jongno-gu","교남동","Gyonam-dong","1","176","0","","","",""
"111103000008","통일로","Tongil-ro","02","서울특별시","Seoul","종로구","Jongno-gu","평동","Pyeong-dong","1","177","0","","","",""
"111103000008","통일로","Tongil-ro","03","서울특별시","Seoul","종로구","Jongno-gu","송월동","Songwol-dong","1","178","0","","","",""
"111103000008","통일로","Tongil-ro","04","서울특별시","Seoul","종로구","Jongno-gu","홍파동","Hongpa-dong","1","179","0","","","",""
"111103000008","통일로","Tongil-ro","05","서울특별시","Seoul","종로구","Jongno-gu","교북동","Gyobuk-dong","1","180","0","","","",""
"111103000008","통일로","Tongil-ro","06","서울특별시","Seoul","종로구","Jongno-gu","무악동","Muak-dong","1","187","0","","","",""
"111103005001","동호로","Dongho-ro","00","서울특별시","Seoul","종로구","Jongno-gu","","","2","","0","","","",""
